level,datetime
0.0,00:19:30
0.0,00:20:00
0.0,00:20:30
0.0,00:21:00
0.0,00:21:30
0.0,00:22:00
0.0,00:22:30
0.0,00:23:00
0.0,00:23:30
0.0,00:24:00
0.0,00:24:30
0.0,00:25:00
0.0,00:25:30
0.0,00:26:00
0.0,00:26:30
0.0,00:27:00
0.02,00:27:30
0.059999999999999998,00:28:00
0.12,00:28:30
0.17999999999999999,00:29:00
0.22,00:29:30
0.22,00:30:00
0.17999999999999999,00:30:30
0.14000000000000001,00:31:00
0.12,00:31:30
0.13999999999999999,00:32:00
0.19999999999999998,00:32:30
0.27999999999999997,00:33:00
0.33999999999999997,00:33:30
0.38,00:34:00
0.40000000000000002,00:34:30
0.40000000000000002,00:35:00
0.40000000000000002,00:35:30
0.40000000000000002,00:36:00
0.40000000000000002,00:36:30
0.40000000000000002,00:37:00
0.40000000000000002,00:37:30
0.40000000000000002,00:38:00
0.40000000000000002,00:38:30
0.40000000000000002,00:39:00
0.40000000000000002,00:39:30
0.40000000000000002,00:40:00
0.40000000000000002,00:40:30
0.40000000000000002,00:41:00
0.40000000000000002,00:41:30
0.40000000000000002,00:42:00
0.40000000000000002,00:42:30
0.40000000000000002,00:43:00
0.40000000000000002,00:43:30
0.40000000000000002,00:44:00
0.40000000000000002,00:44:30
0.40000000000000002,00:45:00
0.40000000000000002,00:45:30
0.40000000000000002,00:46:00
0.40000000000000002,00:46:30
0.40000000000000002,00:47:00
0.40000000000000002,00:47:30
0.40000000000000002,00:48:00
0.40000000000000002,00:48:30
0.41499999999999998,00:49:00
0.44500000000000001,00:49:30
0.48999999999999994,00:50:00
0.54999999999999993,00:50:30
0.60999999999999988,00:51:00
0.65499999999999992,00:51:30
0.68499999999999994,00:52:00
0.69999999999999984,00:52:30
0.69999999999999984,00:53:00
0.69999999999999984,00:53:30
0.69999999999999984,00:54:00
0.69999999999999984,00:54:30
0.68499999999999983,00:55:00
0.65499999999999992,00:55:30
0.60999999999999988,00:56:00
0.54999999999999993,00:56:30
0.48999999999999994,00:57:00
0.44500000000000001,00:57:30
0.42999999999999999,00:58:00
0.44500000000000001,00:58:30
0.48999999999999994,00:59:00
0.54999999999999993,00:59:30
0.60999999999999988,01:00:00
0.65499999999999992,01:00:30
0.68499999999999994,01:01:00
0.69999999999999984,01:01:30
0.69999999999999984,01:02:00
0.69999999999999984,01:02:30
0.69999999999999984,01:03:00
0.69999999999999984,01:03:30
0.69999999999999984,01:04:00
0.69999999999999984,01:04:30
0.69999999999999984,01:05:00
0.69999999999999984,01:05:30
0.69999999999999984,01:06:00
0.69999999999999984,01:06:30
0.69999999999999984,01:07:00
0.69999999999999984,01:07:30
0.69999999999999984,01:08:00
0.69999999999999984,01:08:30
0.69999999999999984,01:09:00
0.69999999999999984,01:09:30
0.69999999999999984,01:10:00
0.69999999999999984,01:10:30
0.69999999999999984,01:11:00
0.68499999999999983,01:11:30
0.65499999999999992,01:12:00
0.60999999999999988,01:12:30
0.54999999999999993,01:13:00
0.48999999999999994,01:13:30
0.44500000000000001,01:14:00
0.41499999999999998,01:14:30
0.40000000000000002,01:15:00
0.40000000000000002,01:15:30
0.41499999999999998,01:16:00
0.44500000000000001,01:16:30
0.48999999999999994,01:17:00
0.54999999999999993,01:17:30
0.60999999999999988,01:18:00
0.65499999999999992,01:18:30
0.68499999999999994,01:19:00
0.68499999999999983,01:19:30
0.65499999999999992,01:20:00
0.60999999999999988,01:20:30
0.54999999999999993,01:21:00
0.48999999999999994,01:21:30
0.44500000000000001,01:22:00
0.41499999999999998,01:22:30
0.40000000000000002,01:23:00
0.40000000000000002,01:23:30
0.40000000000000002,01:24:00
0.40000000000000002,01:24:30
0.40000000000000002,01:25:00
0.40000000000000002,01:25:30
0.42999999999999999,01:26:00
0.48999999999999994,01:26:30
0.57999999999999996,01:27:00
0.69999999999999996,01:27:30
0.82000000000000006,01:28:00
0.90999999999999992,01:28:30
0.96999999999999986,01:29:00
1.0,01:29:30
1.0,01:30:00
1.0,01:30:30
1.0,01:31:00
1.0,01:31:30
1.0,01:32:00
1.0,01:32:30
1.0,01:33:00
1.0,01:33:30
1.0,01:34:00
1.0,01:34:30
1.0,01:35:00
1.0,01:35:30
1.0,01:36:00
1.0,01:36:30
1.0,01:37:00
1.0,01:37:30
1.0,01:38:00
1.0,01:38:30
1.0,01:39:00
